562,Define,FunctionDeclare,__stpcpy,char *
562,Define,Parm,__stpcpy@__dest,char *__restrict
562,Define,Parm,__stpcpy@__src,const char *__restrict
564,Define,FunctionDeclare,stpcpy,char *
564,Define,Parm,stpcpy@__dest,char *__restrict
564,Define,Parm,stpcpy@__src,const char *__restrict
569,Define,FunctionDeclare,__stpncpy,char *
569,Define,Parm,__stpncpy@__dest,char *__restrict
570,Define,Parm,__stpncpy@__src,const char *__restrict
570,Define,Parm,__stpncpy@__n,size_t
572,Define,FunctionDeclare,stpncpy,char *
572,Define,Parm,stpncpy@__dest,char *__restrict
573,Define,Parm,stpncpy@__src,const char *__restrict
573,Define,Parm,stpncpy@__n,size_t
76,Define,_Global_@method,int
130,Define,_Global_@inbuf,uch []
131,Define,_Global_@outbuf,uch []
132,Define,_Global_@d_buf,ush []
133,Define,_Global_@window,uch []
138,Define,_Global_@prev,ush []
146,Define,_Global_@insize,unsigned int
147,Define,_Global_@inptr,unsigned int
148,Define,_Global_@outcnt,unsigned int
150,Define,_Global_@bytes_in,long
151,Define,_Global_@bytes_out,long
152,Define,_Global_@header_bytes,long
157,Define,_Global_@ifd,int
158,Define,_Global_@ofd,int
159,Define,_Global_@ifname,char []
160,Define,_Global_@ofname,char []
161,Define,_Global_@progname,char *
163,Define,_Global_@time_stamp,long
164,Define,_Global_@ifile_size,long
208,Define,_Global_@decrypt,int
209,Define,_Global_@exit_code,int
210,Define,_Global_@verbose,int
211,Define,_Global_@quiet,int
212,Define,_Global_@level,int
213,Define,_Global_@test,int
214,Define,_Global_@to_stdout,int
215,Define,_Global_@save_orig_name,int
277,Define,FunctionDeclare,zip,int
277,Define,Parm,zip@in,int
277,Define,Parm,zip@out,int
278,Define,FunctionDeclare,file_read,int
278,Define,Parm,file_read@buf,char *
278,Define,Parm,file_read@size,unsigned int
281,Define,FunctionDeclare,unzip,int
281,Define,Parm,unzip@in,int
281,Define,Parm,unzip@out,int
282,Define,FunctionDeclare,check_zipfile,int
282,Define,Parm,check_zipfile@in,int
285,Define,FunctionDeclare,unpack,int
285,Define,Parm,unpack@in,int
285,Define,Parm,unpack@out,int
288,Define,FunctionDeclare,unlzh,int
288,Define,Parm,unlzh@in,int
288,Define,Parm,unlzh@out,int
291,Define,FunctionDeclare,abort_gzip,void
294,Define,FunctionDeclare,lm_init,void
294,Define,Parm,lm_init@pack_level,int
294,Define,Parm,lm_init@flags,ush *
295,Define,FunctionDeclare,deflate,ulg
298,Define,FunctionDeclare,ct_init,void
298,Define,Parm,ct_init@attr,ush *
298,Define,Parm,ct_init@method,int *
299,Define,FunctionDeclare,ct_tally,int
299,Define,Parm,ct_tally@dist,int
299,Define,Parm,ct_tally@lc,int
300,Define,FunctionDeclare,flush_block,ulg
300,Define,Parm,flush_block@buf,char *
300,Define,Parm,flush_block@stored_len,ulg
300,Define,Parm,flush_block@eof,int
303,Define,FunctionDeclare,bi_init,void
303,Define,Parm,bi_init@zipfile,file_t
304,Define,FunctionDeclare,send_bits,void
304,Define,Parm,send_bits@value,int
304,Define,Parm,send_bits@length,int
305,Define,FunctionDeclare,bi_reverse,unsigned int
305,Define,Parm,bi_reverse@value,unsigned int
305,Define,Parm,bi_reverse@length,int
306,Define,FunctionDeclare,bi_windup,void
307,Define,FunctionDeclare,copy_block,void
307,Define,Parm,copy_block@buf,char *
307,Define,Parm,copy_block@len,unsigned int
307,Define,Parm,copy_block@header,int
308,Define,_Global_@read_buf,int (*)(char *, unsigned int)
308,Define,Parm,_Global_@buf,char *
308,Define,Parm,_Global_@size,unsigned int
311,Define,FunctionDeclare,copy,int
311,Define,Parm,copy@in,int
311,Define,Parm,copy@out,int
312,Define,FunctionDeclare,updcrc,ulg
312,Define,Parm,updcrc@s,uch *
312,Define,Parm,updcrc@n,unsigned int
313,Define,FunctionDeclare,clear_bufs,void
314,Define,FunctionDeclare,fill_inbuf,int
314,Define,Parm,fill_inbuf@eof_ok,int
315,Define,FunctionDeclare,flush_outbuf,void
316,Define,FunctionDeclare,flush_window,void
317,Define,FunctionDeclare,write_buf,void
317,Define,Parm,write_buf@fd,int
317,Define,Parm,write_buf@buf,voidp
317,Define,Parm,write_buf@cnt,unsigned int
318,Define,FunctionDeclare,strlwr,char *
318,Define,Parm,strlwr@s,char *
319,Define,FunctionDeclare,gzipbasename,char *
319,Define,Parm,gzipbasename@fname,char *
320,Define,FunctionDeclare,make_simple_name,void
320,Define,Parm,make_simple_name@name,char *
321,Define,FunctionDeclare,add_envopt,char *
321,Define,Parm,add_envopt@argcp,int *
321,Define,Parm,add_envopt@argvp,char ***
321,Define,Parm,add_envopt@env,char *
322,Define,FunctionDeclare,error,void
322,Define,Parm,error@m,char *
323,Define,FunctionDeclare,warn,void
323,Define,Parm,warn@a,char *
323,Define,Parm,warn@b,char *
324,Define,FunctionDeclare,read_error,void
325,Define,FunctionDeclare,write_error,void
326,Define,FunctionDeclare,display_ratio,void
326,Define,Parm,display_ratio@num,long
326,Define,Parm,display_ratio@den,long
326,Define,Parm,display_ratio@file,FILE *
327,Define,FunctionDeclare,xmalloc,voidp
327,Define,Parm,xmalloc@size,unsigned int
330,Define,FunctionDeclare,inflate,int
70,Define,_Global_@zfile,file_t
72,Define,_Global_@bi_buf,unsigned short
72,op {_Global_@bi_buf}<-{Imm}
82,Define,_Global_@bi_valid,int
82,op {_Global_@bi_valid}<-{imm}
87,Define,_Global_@read_buf,int (*)(char *, unsigned int)
87,Define,Parm,_Global_@buf,char *
87,Define,Parm,_Global_@size,unsigned int
97,Define,FunctionDefine,bi_init,void
98,Define,Parm,bi_init@zipfile,file_t
100,op,{_Global_@zfile}<-{bi_init@zipfile} 
101,op,{_Global_@bi_buf}<-{Imm} 
102,op,{_Global_@bi_valid}<-{Imm} 
110,cond, IF{}<-{_Global_@zfile,Imm},　Key
111,op,{_Global_@read_buf}<-{_FUN_@file_read} 
119,Define,FunctionDefine,send_bits,void
